region,IQR_이상치_pct,Z3_이상치_pct,주간_영값_pct,평균_발전량,최대_발전량,피크행수,피크시간_결측여부
전라북도,13.41,3.66,0.0,56.64,594.24,12130,False
전라남도,4.09,1.51,2.9,178.72,1824.4,12134,False
경상남도,3.69,2.44,0.0,41.1,329.1,11994,False
부산시,2.62,1.53,0.01,9.8,81.15,11694,False
충청북도,2.47,2.37,0.0,27.71,230.13,12125,False
강원도,1.94,2.44,0.0,49.94,412.4,12131,False
경상북도,1.4,1.99,0.0,68.65,512.42,12130,False
대구시,0.71,1.33,0.01,5.73,42.78,12120,False
경기도,0.69,2.31,0.0,27.94,232.37,12114,False
인천시,0.58,1.78,0.02,4.98,35.36,12130,False
제주도,0.21,2.24,0.0,35.74,331.85,12116,False
광주시,0.0,1.13,0.0,7.19,48.03,12045,False
대전시,0.0,0.55,0.05,1.64,11.03,12033,False
울산시,0.0,3.39,0.0,1.11,34.77,1120,False
서울시,0.0,0.83,0.02,1.94,13.32,12128,False
세종시,0.0,2.94,0.0,2.25,22.79,2925,False
충청남도,,2.44,,16.95,201.28,0,True
